,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
232,6,150.00000,18.69799,16.66667,4.44444,35.76499,11.25996,2.76000,1.75444,0.96667,0.48686,2.07755
233,6,188.00000,23.80499,20.88889,4.44444,46.88032,11.19612,2.77333,1.76667,0.97778,0.47741,2.64500
234,6,222.00000,36.09799,24.66667,4.44444,57.75954,11.26892,2.83778,1.76556,0.97667,0.47436,4.01089
235,6,220.00000,28.86799,24.44444,4.44444,57.09385,11.28146,2.79333,1.77000,0.98444,0.47451,3.20755
236,6,233.00000,37.77699,25.88889,4.66667,60.75509,11.44723,2.76222,1.76444,0.97333,0.47174,4.19744
237,6,214.00000,34.85799,23.77778,4.66667,55.32977,11.43567,2.73778,1.76333,0.97111,0.47845,3.87311
238,6,252.00000,39.96499,28.00000,4.66667,66.44510,11.37183,2.75111,1.77556,0.98222,0.46899,4.44055
239,6,286.00000,52.25799,31.77778,4.66667,77.32432,11.44463,2.81556,1.77444,0.98111,0.46594,5.80644
240,6,284.00000,45.02799,31.55556,4.66667,76.65863,11.45717,2.77111,1.77889,0.98889,0.46609,5.00311
241,6,131.00000,13.55699,14.55556,4.66667,31.18156,11.28690,2.77111,1.74000,0.95111,0.48419,1.50633
242,6,112.00000,10.63799,12.44444,4.66667,25.75624,11.27533,2.74667,1.73889,0.94889,0.49090,1.18200
243,6,150.00000,15.74499,16.66667,4.66667,36.87158,11.21150,2.76000,1.75111,0.96000,0.48145,1.74944
244,6,184.00000,28.03799,20.44444,4.66667,47.75079,11.28430,2.82444,1.75000,0.95889,0.47840,3.11533
245,6,182.00000,20.80799,20.22222,4.66667,47.08510,11.29683,2.78000,1.75444,0.96667,0.47855,2.31200
246,6.5,98.00000,18.08333,14.00000,4.57143,29.11002,11.20413,2.76000,1.75143,0.88286,0.48995,2.58333
247,4.3,132.00000,27.17933,22.00000,4.66667,50.61352,11.70647,2.88167,1.71667,0.88333,0.47802,4.52989
248,6,112.00000,13.04433,18.66667,4.50000,40.96806,11.24143,2.76333,1.76333,0.98000,0.48001,2.17405
249,6,141.00000,17.64133,23.50000,4.50000,54.02692,11.22317,2.76667,1.75833,0.98167,0.47466,2.94022
250,6,131.00000,15.23233,21.83333,4.50000,49.50308,11.12833,2.74667,1.78000,0.99333,0.47589,2.53872
251,6,99.00000,16.44933,16.50000,4.50000,35.45792,11.52228,2.86500,1.71667,0.89333,0.48449,2.74155
252,6,144.00000,21.12433,24.00000,4.66667,55.64164,11.37322,2.74667,1.77000,0.98333,0.47370,3.52072
253,6,173.00000,25.72133,28.83333,4.66667,68.70050,11.35495,2.75000,1.76500,0.98500,0.46834,4.28689
254,6,163.00000,23.31233,27.16667,4.66667,64.17667,11.26012,2.73000,1.78667,0.99667,0.46958,3.88539
255,6,131.00000,24.52933,21.83333,4.66667,50.13150,11.65407,2.84833,1.72333,0.89667,0.47818,4.08822
256,6,93.00000,9.01433,15.50000,4.66667,33.46149,11.25297,2.75333,1.75167,0.96667,0.48304,1.50239
257,6,122.00000,13.61133,20.33333,4.66667,46.52035,11.23470,2.75667,1.74667,0.96833,0.47769,2.26855
258,6,112.00000,11.20233,18.66667,4.66667,41.99652,11.13987,2.73667,1.76833,0.98000,0.47892,1.86705
259,6,80.00000,12.41933,13.33333,4.66667,27.95135,11.53382,2.85500,1.70500,0.88000,0.48752,2.06989
260,4,38.00000,1.55316,12.66667,5.33333,26.02494,13.65293,2.98667,1.75000,0.98000,0.48216,0.51772
261,7,70.00000,5.81533,10.00000,4.57143,20.09830,11.13093,2.61143,1.66286,0.92857,0.49800,0.83076
262,6,114.00000,22.88633,16.28571,4.28571,34.43802,11.38163,2.72429,1.73857,0.89143,0.48428,3.26948
263,7.8,88.00000,12.53633,12.57143,4.57143,26.19131,10.83403,2.66143,1.68143,0.89143,0.48893,1.79090
264,7.8,83.00000,12.84333,11.85714,4.57143,24.69961,10.55400,2.64714,1.68714,0.90429,0.48839,1.83476
265,2.5,98.00000,13.35000,49.00000,5.00000,119.62950,8.88835,2.19000,1.91000,1.24500,0.44736,6.67500
266,3,312.00000,38.84400,44.57143,5.42857,107.62811,9.06110,2.27429,1.90857,1.23000,0.45514,5.54914
267,3.5,470.00000,29.51080,11.46341,4.48780,22.90920,10.98671,2.55902,1.77707,0.96585,0.52356,0.71978
268,3.5,486.00000,29.51396,12.46154,4.71795,25.02963,10.81942,2.56308,1.82359,1.01744,0.49848,0.75677
269,3.5,1090.00000,127.51080,26.58537,4.97561,63.67067,11.30464,2.75415,1.70634,0.89512,0.49837,3.11002
270,3.5,1106.00000,127.51396,28.35897,5.23077,67.88143,11.15365,2.76821,1.74923,0.94308,0.47200,3.26959
271,2.8,152.00000,6.90749,5.84615,3.38462,11.39017,12.48827,2.60769,1.46038,0.64154,0.68756,0.26567
272,5.5,136.00000,10.83732,11.33333,4.66667,22.84969,10.63970,2.60000,1.75333,0.96500,0.49669,0.90311
273,5.5,58.00000,6.28400,11.60000,4.40000,24.03362,11.06572,2.63400,1.68000,0.96000,0.49065,1.25680
274,3,40.00000,2.70325,5.71429,3.42857,11.14316,12.51933,2.64714,1.38571,0.58857,0.70832,0.38618
275,2.8,138.00000,7.50266,10.61538,4.92308,21.39752,11.23509,2.73385,1.73923,0.93385,0.49647,0.57713
276,2,441.70000,51.80580,10.61779,4.54087,21.58283,11.62212,2.76416,1.68409,0.81707,0.54291,1.24533
277,2,389.70000,31.10580,9.36779,4.63702,18.80749,11.43783,2.74300,1.66486,0.81707,0.54447,0.74774
278,2,385.70000,27.26980,9.27163,4.54087,18.55004,11.59749,2.71416,1.65428,0.83245,0.54561,0.65552
279,2,428.90000,51.98020,10.31010,4.54087,20.96327,11.65283,2.76839,1.66563,0.80168,0.54262,1.24952
280,2,376.90000,31.28020,9.06010,4.63702,18.18794,11.46854,2.74724,1.64639,0.80168,0.54418,0.75193
281,2,372.90000,27.44420,8.96394,4.54087,17.93048,11.62819,2.71839,1.63582,0.81707,0.54533,0.65972
282,2,443.30000,52.90660,10.65625,4.57933,21.62051,11.69029,2.77108,1.66716,0.80707,0.54341,1.27179
283,2,391.30000,32.20660,9.40625,4.67548,18.84518,11.50600,2.74993,1.64793,0.80707,0.54497,0.77420
284,2,387.30000,28.37060,9.31010,4.57933,18.58772,11.66566,2.72108,1.63736,0.82245,0.54612,0.68199
285,6,390.00000,31.23214,9.51220,4.68293,19.11022,11.32764,2.71146,1.68024,0.85366,0.52132,0.76176
286,4.5,258.00000,16.29298,6.97297,3.89189,13.68794,12.40536,2.70649,1.48514,0.65243,0.65844,0.44035
287,4.5,260.00000,16.68498,6.84211,3.78947,13.48303,12.18851,2.65789,1.50474,0.67368,0.65317,0.43908
288,5.3,43.00000,7.87675,10.75000,3.75000,22.21273,12.18425,2.72750,1.54500,0.71000,0.61443,1.96919
289,2.3,148.00000,9.14882,5.48148,3.25926,10.64956,13.33077,2.69889,1.33074,0.50963,0.75362,0.33885
290,3.3,64.00000,10.65000,32.00000,4.00000,72.23650,9.67690,2.13500,1.99000,1.22000,0.46299,5.32500
291,6.8,224.00000,17.05398,11.20000,4.80000,22.52187,10.90918,2.66000,1.75750,0.94000,0.49782,0.85270
292,3.8,126.00000,18.95550,18.00000,4.00000,43.43439,12.55187,2.83714,1.52714,0.71857,0.62440,2.70793
293,2,382.00000,3.60744,8.12766,5.70213,16.21513,13.38826,3.31702,1.52489,0.65830,0.52092,0.07675
294,2,28.00000,0.97400,14.00000,4.00000,29.21788,9.05335,2.04500,2.01000,1.30000,0.47899,0.48700
295,7.5,46.00000,6.07141,5.75000,4.00000,11.72929,11.87678,2.64250,1.52000,0.71250,0.54279,0.75893
296,7.5,46.00000,6.07158,6.57143,4.57143,13.68941,12.17436,2.78286,1.57286,0.76286,0.47484,0.86737
297,3.3,770.00000,43.68294,10.00000,4.46753,20.32245,10.62454,2.56156,1.79065,0.98623,0.49328,0.56731
298,4.5,354.00000,22.90831,8.23256,4.09302,16.83411,12.29936,2.73465,1.52558,0.68140,0.63414,0.53275
299,5.5,107.00000,22.32533,15.28571,4.28571,32.68718,10.96777,2.63000,1.74714,0.91857,0.48075,3.18933
300,5.8,446.00000,36.09530,9.91111,4.88889,20.05298,11.04552,2.74844,1.71289,0.88089,0.49545,0.80212
301,5.8,414.00000,36.08997,10.09756,4.78049,20.44849,10.79453,2.68098,1.73171,0.90439,0.49500,0.88024
302,5.8,482.00000,38.41130,10.71111,4.97778,21.57193,11.13210,2.75467,1.71644,0.89333,0.49728,0.85358
303,5.8,450.00000,38.40597,10.97561,4.87805,22.11563,10.88957,2.68780,1.73561,0.91805,0.49701,0.93673
304,6,122.00000,14.09199,12.20000,4.80000,24.80852,11.20276,2.72700,1.76700,0.91000,0.49617,1.40920
305,6,266.00000,44.30998,11.56522,4.52174,24.13426,11.12767,2.62913,1.70130,0.88130,0.48463,1.92652
306,6,76.00000,15.75200,15.20000,4.40000,31.93742,11.33182,2.79600,1.72800,0.88000,0.48624,3.15040
307,5,232.00000,33.20565,11.60000,4.00000,24.08548,12.22274,2.68000,1.59200,0.73800,0.59004,1.66028
308,7.8,84.00000,13.27733,12.00000,4.57143,24.82917,10.62091,2.68714,1.68571,0.89714,0.48989,1.89676
309,5.3,97.00000,13.47733,12.12500,4.37500,24.98813,11.03718,2.54375,1.72000,0.95250,0.48660,1.68467
310,5.3,80.00000,5.60474,8.88889,4.44444,17.89633,11.95683,2.68444,1.59333,0.81556,0.54660,0.62275
311,2.5,146.00000,27.24000,48.66667,2.66667,114.44547,8.05400,1.98667,2.09333,1.36333,0.42632,9.08000
312,3.8,348.00000,23.29097,7.56522,4.17391,14.92826,12.28613,2.74957,1.52978,0.68261,0.62735,0.50633
313,3.8,350.00000,23.68297,7.44681,4.08511,14.73620,12.11334,2.70936,1.54468,0.69915,0.62374,0.50389
314,3.8,366.00000,23.46497,7.78723,4.08511,15.42167,12.07936,2.70468,1.56511,0.71617,0.62406,0.49925
315,3.2,1228.00000,74.32837,9.74603,5.63492,19.78914,12.92076,3.13960,1.57833,0.73397,0.50385,0.58991
316,5.5,406.00000,31.80014,9.90244,4.68293,19.85160,11.36283,2.70049,1.67317,0.86683,0.52221,0.77561
317,5.5,462.00000,56.33614,11.26829,4.68293,22.92877,11.38782,2.75122,1.70341,0.85122,0.51946,1.37405
318,4.3,131.00000,26.74533,21.83333,4.66667,50.46236,11.62840,2.83500,1.71833,0.89167,0.47627,4.45755
319,6,240.00000,19.18882,9.23077,4.30769,18.47623,11.37803,2.59346,1.61115,0.87769,0.53600,0.73803
320,6,240.00000,19.18914,10.00000,4.66667,20.18188,11.51005,2.67125,1.64958,0.92083,0.49580,0.79955
322,6.8,233.00000,17.05540,10.59091,4.68182,21.24747,11.15455,2.67455,1.71682,0.89818,0.52039,0.77525
323,3.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
324,1.5,378.00000,30.69930,9.21951,4.68293,18.50249,11.52584,2.76902,1.64707,0.80049,0.54520,0.74876
325,5.5,72.00000,12.41800,14.40000,4.40000,30.34182,11.11696,2.73800,1.74200,0.92800,0.48502,2.48360
326,1.5,100.00000,15.43000,50.00000,4.00000,117.38634,9.01375,2.29500,2.04500,1.36000,0.42668,7.71500
327,7.8,109.00000,23.19333,15.57143,4.28571,32.94631,11.10160,2.71000,1.74429,0.90429,0.48375,3.31333
328,6,100.00000,8.33799,10.00000,4.80000,20.21335,10.91369,2.69800,1.74300,0.89600,0.49574,0.83380
329,2.5,884.00000,121.42000,35.36000,5.28000,82.56124,9.37038,2.29800,1.90720,1.20000,0.46190,4.85680
330,3,247.00000,28.50315,9.50000,4.19231,19.26095,12.34660,2.80115,1.55192,0.71846,0.60898,1.09628
331,2.8,126.00000,4.61482,7.41176,3.76471,14.64397,12.48421,2.65588,1.48647,0.69647,0.67124,0.27146
332,6,78.00000,5.89633,11.14286,4.57143,22.59428,10.42151,2.58429,1.82429,0.99143,0.49519,0.84233
333,2.3,130.00000,10.07032,7.64706,4.23529,15.18551,12.07244,2.75176,1.52706,0.69412,0.61348,0.59237
334,2.5,138.00000,11.43732,5.52000,3.52000,10.93022,12.08226,2.61840,1.50960,0.64640,0.64976,0.45749
335,3.5,70.00000,3.74683,7.77778,4.44444,15.37487,12.58817,2.83222,1.48111,0.69778,0.60856,0.41631
336,6.3,80.00000,7.73466,10.00000,5.00000,20.25528,11.02673,2.79000,1.67250,0.85250,0.49528,0.96683
337,2.3,220.00000,24.70666,27.50000,5.50000,65.80677,11.66049,2.92250,1.68000,0.89250,0.47382,3.08833
338,2.8,1264.00000,77.06135,8.05096,5.40127,16.40815,12.94474,3.17898,1.56981,0.67911,0.50503,0.49084
339,2.8,1266.00000,78.06735,8.06369,5.40127,16.42357,12.94425,3.17924,1.56968,0.67783,0.50508,0.49724
340,3.3,952.00000,65.15993,7.67742,4.12903,15.17498,12.17317,2.72452,1.53258,0.69613,0.62561,0.52548
341,3.3,108.00000,11.35441,27.00000,4.50000,64.91322,11.90020,2.65000,1.59750,0.85250,0.59185,2.83860
342,6,158.00000,11.62166,8.31579,4.21053,16.53846,11.84015,2.69579,1.56789,0.74632,0.60149,0.61167
343,5.8,150.00000,11.55149,8.82353,4.70588,17.77768,11.99818,2.80647,1.55353,0.77059,0.55355,0.67950
344,5.8,164.00000,17.68549,9.64706,4.70588,19.63303,12.01325,2.83706,1.57176,0.76118,0.55189,1.04032
345,5.3,237.00000,20.98698,10.30435,4.47826,20.92187,10.29331,2.52652,1.78000,0.96783,0.49365,0.91248
346,2.8,454.00000,50.81615,21.61905,4.95238,51.37534,12.05530,2.88381,1.60571,0.79333,0.52693,2.41982
347,5,43.00000,7.87675,10.75000,3.75000,22.21273,12.18425,2.72750,1.54500,0.71000,0.61443,1.96919
348,3.3,390.00000,29.93030,9.06977,4.46512,18.24639,11.20228,2.66744,1.67628,0.84140,0.54004,0.69605
349,5.8,108.00000,8.22899,10.80000,4.80000,21.82420,10.83385,2.68700,1.79100,0.93600,0.49648,0.82290
350,4.5,258.00000,16.29298,6.97297,3.89189,13.68794,12.40536,2.70649,1.48514,0.65243,0.65844,0.44035
351,4.5,260.00000,16.68498,6.84211,3.78947,13.48303,12.18851,2.65789,1.50474,0.67368,0.65317,0.43908
352,2,90.00000,11.35133,45.00000,5.00000,111.59952,10.51740,2.62000,1.77000,1.04500,0.44789,5.67567
353,5.3,92.00000,19.33400,30.66667,4.00000,68.56273,9.15987,1.95000,1.91333,1.21333,0.44883,6.44467
354,7.8,76.00000,15.75200,15.20000,4.40000,31.93742,11.33182,2.79600,1.72800,0.88000,0.48624,3.15040
355,4,42.00000,3.44400,8.40000,4.80000,16.86214,11.95216,2.83600,1.59800,0.81400,0.49867,0.68880
356,6,110.00000,23.62733,15.71429,4.28571,33.07587,11.16851,2.75000,1.74286,0.89714,0.48525,3.37533
357,3.8,106.00000,19.62683,10.60000,3.80000,22.11124,12.20004,2.79500,1.54200,0.70300,0.58966,1.96268
358,4,42.00000,7.44275,10.50000,3.75000,21.98599,12.06715,2.65750,1.54750,0.72250,0.61181,1.86069
359,5.5,33.00000,7.44133,16.50000,4.00000,35.46854,10.52605,2.49500,1.78500,0.96500,0.47754,3.72067
360,6.3,58.00000,11.87400,19.33333,4.66667,39.98767,9.54080,2.33000,1.88000,1.10667,0.48783,3.95800
361,5.5,418.00000,32.98596,10.19512,4.87805,20.61177,11.01661,2.71634,1.74951,0.89610,0.49575,0.80454
362,2.5,82.00000,13.89000,41.00000,4.00000,95.22524,9.08885,2.28000,1.97000,1.29000,0.43700,6.94500
363,2.3,70.00000,2.00833,4.66667,3.20000,8.80871,13.51252,2.66800,1.31867,0.50533,0.76237,0.13389
364,2.8,108.00000,11.35458,36.00000,6.00000,87.21480,12.60237,2.98000,1.74667,1.01667,0.44966,3.78486
365,5.5,464.00000,38.10996,10.54545,4.90909,21.24292,11.09606,2.73841,1.71864,0.89250,0.49723,0.86614
366,2,428.00000,9.93810,8.23077,5.73077,16.49756,13.44477,3.34481,1.51923,0.64692,0.51826,0.19112
367,5.5,132.00000,8.32932,11.00000,4.33333,22.08843,10.87431,2.50083,1.70417,1.01333,0.49828,0.69411
368,5.5,174.00000,26.73132,14.50000,4.33333,29.97368,10.93836,2.63083,1.78167,0.97333,0.49124,2.22761
369,5.5,135.00000,11.20632,11.25000,4.58333,22.75782,10.45921,2.57583,1.73167,0.97333,0.49530,0.93386
370,5.5,138.00000,10.09932,11.50000,4.83333,23.03343,11.00068,2.64833,1.79667,0.94833,0.49947,0.84161
371,5.5,114.00000,7.17132,9.50000,4.16667,19.24040,10.71196,2.48917,1.69750,0.99000,0.49486,0.59761
372,5.5,156.00000,25.57332,13.00000,4.16667,27.12565,10.77601,2.61917,1.77500,0.95000,0.48781,2.13111
373,5.5,117.00000,10.04832,9.75000,4.41667,19.90978,10.29686,2.56417,1.72500,0.95000,0.49188,0.83736
374,5.5,120.00000,8.94132,10.00000,4.66667,20.18540,10.83833,2.63667,1.79000,0.92500,0.49604,0.74511
375,2.3,9852.00000,27.42188,7.97733,5.96761,15.95377,13.58280,3.42638,1.52159,0.64152,0.50078,0.02220
376,2.5,296.00000,34.05865,42.28571,5.42857,103.49858,10.77450,2.65714,1.80000,1.09000,0.44947,4.86552
377,5,586.00000,42.25796,8.02740,4.16438,15.95711,11.87462,2.69233,1.56795,0.73726,0.60557,0.57888
378,3,96.00000,15.55000,48.00000,4.00000,116.32550,10.39875,2.24000,2.01500,1.18000,0.44890,7.77500
379,6.3,138.00000,10.56166,10.61538,4.92308,21.40954,11.05588,2.74231,1.77308,0.90615,0.49718,0.81244
380,2.5,100.00000,15.43000,50.00000,4.00000,117.38634,9.01375,2.29500,2.04500,1.36000,0.42668,7.71500
381,3.3,233.00000,17.05540,10.59091,4.68182,21.24747,11.15455,2.67455,1.71682,0.89818,0.52039,0.77525
382,3.8,102.00000,5.19133,5.36842,3.36842,10.35119,12.85709,2.64684,1.37474,0.59105,0.70653,0.27323
383,3.8,568.00000,63.36898,27.04762,5.42857,64.58836,11.66326,2.85762,1.69000,0.91429,0.47197,3.01757
384,2.5,278.00000,34.05533,39.71429,5.14286,97.94230,10.96036,2.73714,1.73429,0.98714,0.45533,4.86505
385,1.8,3328.00000,4.48962,8.00000,5.95192,15.99917,13.56941,3.41990,1.52226,0.64404,0.50228,0.01079
386,9.5,20.00000,4.03000,10.00000,4.00000,20.04680,9.70600,2.22500,1.90000,0.94500,0.49901,2.01500
387,1.3,74.00000,14.22000,24.66667,4.33333,53.35600,9.27080,2.44000,1.92333,1.18000,0.47857,4.74000
388,5,105.00000,8.86233,17.50000,5.16667,39.18098,11.74963,2.84500,1.71667,0.91500,0.48305,1.47705
389,5,104.00000,8.35933,17.33333,5.16667,38.97923,11.75600,2.84167,1.71833,0.93167,0.48245,1.39322
390,5,137.00000,13.92533,22.83333,5.16667,54.50126,11.87763,2.87500,1.72167,0.92500,0.47871,2.32089
391,3.5,68.00000,3.75541,9.71429,4.57143,19.43653,12.09581,2.73571,1.61286,0.81571,0.56793,0.53649
392,5.5,78.00000,5.62533,11.14286,4.57143,22.35173,10.91193,2.56714,1.74571,0.97714,0.49876,0.80362
399,1.5,387.70000,30.15100,8.30193,4.46895,16.54665,11.89747,2.76940,1.58606,0.73662,0.58217,0.64563
400,1.5,383.70000,26.31500,8.21627,4.38330,16.31731,12.03969,2.74370,1.57664,0.75032,0.58319,0.56349
401,1.5,439.70000,50.85100,9.41542,4.38330,19.01889,12.06164,2.78824,1.60319,0.73662,0.58078,1.08889
402,1.5,379.70000,33.10300,8.13062,4.29764,16.35779,11.52644,2.71972,1.54152,0.75375,0.57932,0.70884
403,1.5,375.70000,29.26700,8.04497,4.21199,16.12845,11.66866,2.69403,1.53210,0.76745,0.58034,0.62670
404,1.5,431.70000,53.80300,9.24411,4.21199,18.83004,11.69060,2.73857,1.55865,0.75375,0.57793,1.15210
405,2.5,88.00000,13.55133,44.00000,4.00000,108.29552,12.02780,2.67000,1.87500,0.98000,0.44942,6.77567
406,3.5,439.00000,29.71146,7.56897,4.25862,14.96332,12.26149,2.76879,1.54259,0.68621,0.61754,0.51227
407,3.5,447.00000,29.60246,7.70690,4.25862,15.24105,12.24772,2.76690,1.55086,0.69310,0.61767,0.51039
408,3.5,448.00000,30.29046,7.72414,4.27586,15.25794,12.27828,2.77000,1.54328,0.68862,0.61789,0.52225
409,2.8,198.00000,15.96515,9.42857,4.57143,18.96662,11.30320,2.71571,1.66714,0.83143,0.54340,0.76025
410,2.5,46.00000,8.96300,23.00000,4.00000,49.49600,10.34700,2.53000,1.85500,1.11000,0.46794,4.48150
411,5,190.00000,14.34632,8.26087,4.17391,16.53106,11.50068,2.64609,1.61565,0.78522,0.58194,0.62375
412,5.8,288.00000,23.91231,10.28571,4.57143,20.86837,10.50706,2.59607,1.77286,0.94857,0.49439,0.85401
413,3.3,90.00000,3.94991,5.62500,3.50000,10.89537,13.04053,2.68625,1.36688,0.57563,0.71394,0.24687
414,5.3,61.00000,14.63200,30.50000,3.50000,66.80750,8.71425,1.96000,1.91000,1.18500,0.45877,7.31600
415,6.5,100.00000,7.55816,8.33333,4.00000,16.58382,11.66631,2.57250,1.55083,0.81833,0.58034,0.62985
416,6.5,100.00000,7.55849,10.00000,4.80000,20.29889,12.04083,2.75500,1.63100,0.91000,0.49272,0.75585
417,5.5,490.00000,39.97930,10.00000,4.57143,20.29272,10.56336,2.60000,1.75837,0.93959,0.49406,0.81590
418,4,36.00000,3.55000,18.00000,4.00000,36.06850,8.23660,1.79000,2.05500,1.39000,0.49900,1.77500
419,6.3,149.90000,12.25756,10.70714,4.70714,21.58452,10.74439,2.62364,1.77529,0.93786,0.49666,0.87554
420,3,132.00000,23.65674,14.66667,4.22222,31.44629,11.88114,2.80111,1.60778,0.79556,0.53838,2.62853
421,6.8,58.00000,4.07533,9.66667,5.00000,19.39735,11.71172,2.82833,1.65167,0.85000,0.49871,0.67922
422,6.8,72.00000,10.20933,12.00000,5.00000,24.65419,11.75442,2.91500,1.70333,0.82333,0.49402,1.70155
423,5,40.00000,2.33416,6.66667,4.00000,13.01613,12.70047,2.77000,1.47667,0.61667,0.66380,0.38903
424,1.8,114.00000,17.46000,22.80000,5.60000,49.20404,10.13144,2.35200,1.82000,1.10400,0.47557,3.49200
425,6,138.00000,10.56166,10.61538,4.92308,21.40954,11.05588,2.74231,1.77308,0.90615,0.49718,0.81244
426,5.5,50.00000,4.07400,10.00000,4.80000,20.07702,11.33044,2.70600,1.67800,0.89200,0.49845,0.81480
427,5.5,64.00000,10.20800,12.80000,4.80000,26.38522,11.38168,2.81000,1.74000,0.86000,0.49282,2.04160
428,2.5,190.00000,16.07415,9.04762,4.57143,18.19954,11.34122,2.72095,1.64429,0.81238,0.54304,0.76544
429,4.5,147.00000,11.61657,13.36364,5.00000,29.01871,12.11854,2.89455,1.70182,0.86545,0.48963,1.05605
430,4.5,146.00000,11.11357,13.27273,5.00000,28.90866,12.12201,2.89273,1.70273,0.87455,0.48930,1.01032
431,4.5,100.00000,5.93057,9.09091,4.90909,18.37087,12.08221,2.87727,1.68818,0.84364,0.49549,0.53914
432,4.8,166.00000,11.07307,10.37500,4.50000,20.77480,11.12387,2.61188,1.74813,0.91125,0.52902,0.69207
434,3.8,398.50000,100.13700,22.13889,3.77778,46.10423,8.91810,2.18667,1.91292,1.13069,0.48377,5.56317
435,2.5,163.00000,20.31882,20.37500,4.12500,46.95647,11.93891,2.66250,1.59000,0.82375,0.59943,2.53985
436,5.5,20.00000,1.74133,10.00000,4.00000,20.15152,10.63215,2.37500,1.62500,1.02000,0.49688,0.87067
437,5.5,66.00000,6.09400,13.20000,4.40000,27.18842,10.75912,2.57200,1.79600,1.02800,0.49171,1.21880
438,6.5,152.00000,12.56632,9.50000,5.00000,19.14036,11.26033,2.78688,1.70375,0.84375,0.49426,0.78540
439,2.5,285.00000,35.10440,8.38235,3.67647,17.24896,12.88098,2.73971,1.42471,0.60353,0.68163,1.03248
440,7.5,54.00000,6.03133,7.71429,4.57143,15.72921,11.60993,2.68571,1.60571,0.81143,0.48375,0.86162
441,4.3,336.00000,22.18931,7.63636,4.00000,15.10486,12.08975,2.68705,1.53909,0.70636,0.63247,0.50430
442,4.3,338.00000,22.58131,7.51111,3.91111,14.90034,11.91364,2.64644,1.55444,0.72311,0.62859,0.50181
443,2.3,208.00000,15.78715,9.45455,4.36364,18.96581,11.28792,2.62455,1.66000,0.87182,0.54222,0.71760
444,2.5,228.00000,24.40999,28.50000,5.50000,68.16234,11.61040,2.84875,1.72500,0.94625,0.46877,3.05125
445,6,244.00000,25.31590,11.09091,4.65909,22.55830,11.24750,2.69818,1.70977,0.87886,0.51778,1.15072
446,6,100.00000,8.14799,10.00000,4.80000,20.07702,11.33044,2.70600,1.67800,0.89200,0.49845,0.81480
447,6,108.00000,7.95799,10.80000,4.80000,21.65442,11.17714,2.67500,1.73600,0.92600,0.49898,0.79580
448,6,128.00000,20.41599,12.80000,4.80000,26.38522,11.38168,2.81000,1.74000,0.86000,0.49282,2.04160
449,6,122.00000,14.09199,12.20000,4.80000,24.80852,11.20276,2.72700,1.76700,0.91000,0.49617,1.40920
450,6.5,144.00000,9.23999,14.40000,4.80000,31.20492,10.78917,2.68400,1.85900,0.97400,0.48927,0.92400
451,2.5,1030.00000,203.38200,35.51724,3.17241,80.07104,8.70331,2.18483,1.98897,1.24138,0.45855,7.01317
452,2.5,742.00000,178.74200,25.58621,3.17241,55.61741,8.78618,2.16828,1.90621,1.16414,0.46994,6.16352
453,3.8,94.00000,11.77533,15.66667,4.50000,33.33735,11.27967,2.82000,1.76000,0.96000,0.48948,1.96255
454,3.8,126.00000,20.85533,21.00000,4.66667,47.98569,11.40827,2.74333,1.76167,0.96667,0.48360,3.47589
455,6.3,206.00000,15.50415,9.80952,4.57143,19.63691,11.39367,2.69524,1.66857,0.84286,0.54484,0.73829
456,2.3,222.00000,43.23000,31.71429,3.71429,70.67189,9.08531,2.22000,1.94000,1.20000,0.46350,6.17571
457,6,114.00000,20.29466,14.25000,4.50000,29.94402,11.34043,2.80000,1.72375,0.89500,0.48634,2.53683
458,5.5,445.00000,70.48698,13.08824,4.23529,28.11122,11.73157,2.71882,1.64500,0.81618,0.54330,2.07315
459,5.5,236.00000,18.20590,9.44000,4.48000,18.89450,11.44350,2.69160,1.64080,0.82160,0.55662,0.72824
460,5.5,249.00000,23.38090,9.96000,4.44000,20.04904,11.52016,2.70040,1.64880,0.82160,0.55597,0.93524
461,5.5,235.00000,17.24690,9.40000,4.44000,18.78740,11.50992,2.67960,1.63640,0.82800,0.55710,0.68988
462,5.5,233.00000,18.20565,10.59091,4.95455,21.33359,11.14965,2.75864,1.71455,0.89000,0.49724,0.82753
463,5.5,246.00000,23.38065,11.18182,4.90909,22.64557,11.23677,2.76864,1.72364,0.89000,0.49650,1.06276
464,5.5,232.00000,17.24665,10.54545,4.90909,21.21189,11.22512,2.74500,1.70955,0.89727,0.49778,0.78394
465,5.5,243.00000,18.20649,7.59375,3.71875,14.98179,11.91488,2.58406,1.52250,0.71187,0.65189,0.56895
466,5.5,256.00000,23.38149,8.00000,3.68750,15.88378,11.97478,2.59094,1.52875,0.71187,0.65138,0.73067
467,5.5,242.00000,17.24749,7.56250,3.68750,14.89812,11.96677,2.57469,1.51906,0.71687,0.65226,0.53898
468,5.5,240.00000,18.20623,8.27586,4.00000,16.42738,11.74073,2.62379,1.56621,0.75241,0.61669,0.62780
469,5.5,253.00000,23.38123,8.72414,3.96552,17.42267,11.80682,2.63138,1.57310,0.75241,0.61613,0.80625
